Gross Domestic Product at Current Basic Prices (N' Million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Sector,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010 2,2011 1
            Oil Refining,,,,,,,,,,,,,,,,,,,,,,21.06,20.64,14.24,15.25,25.35,10.92,46.07,57.33,170.78,174.92,237.99,481.97,467.21,427.48,1553.33,2440.3,2184.66,1460.95,2297.3,4370.01,13799.65,13808.07,17367.08,22456.58,29037.47,37457.96,41355.76,47582.1,53958.89,61313.74,70654.3
            Cement,,,,,,,,,,,,,,,,,,,,,,194.37,256.33,93.36,60.85,355.02,481.7,424.87,569.98,899.9,679.95,819.4,1001.21,1296.36,1478.79,1886.01,2066.51,2342.26,2277.28,2419.7,2575.4,3230.3,3546.34,4236.04,5477.36,8501.84,11791.64,14916.86,17162.68,19556.59,22230.69,25787.3
            Other Manufacturing,108,122.8,146.4,173,173.6,214.6,233,194.2,198.6,281.8,378.4,415.8,511.1,622.4,1589.02,1170.44,1464.3,1695.58,2915.82,3815.57,5162.21,4484.52,4770.64,5435.36,4771.41,6042.27,6098.5,6997.51,10390.47,11404.83,13847.53,18298.61,25520.83,37223.57,60991.42,101850.25,128390.25,139580.03,137758.21,146229.52,161091.61,182049.37,219471.12,266136.26,321382.38,375167.29,429274.54,464610.41,520828.27,538793.41,559525.79,598280.61
3. Building & Construction,94.8,106.2,112.8,117.8,137,178.2,180.4,154.8,131.4,191.5,269.9,411.5,520.1,578.9,1676.96,1814.57,2605.81,2990.84,3077.19,3192.32,3671.17,2773,2488,2256,1906,1532,1920,2175,2467,3854.45,4350.75,4900.33,6109.72,8019.1,10324.6,13784.38,16042.21,18775.74,24877.83,27527.52,30603.92,40744.13,47985.41,58905.42,166078.47,215786.12,250332.27,266463.99,306581.64,347690.73,394666.15,456039.02
4. Wholesale & Retail Trade,283.6,292.8,313,346.6,380.6,406.2,435.4,356.6,342.2,456.9,670.4,804.2,812.6,929.3,3825.92,4329.17,5501.8,6771.71,7020.51,8725.79,9617.2,6458.67,6617.91,8308.22,8596.89,9186.65,9490.82,14815.78,20748.28,32367.85,35837.66,41792.2,62296.25,100848.89,158394.5,273912.72,357053.01,392343.38,444484.92,485667,527485.4,642697.21,772436.94,922149.87,1484422.36,1868251.3,2741794.53,3044773.87,3503181.7,4082351.76,4648696.98,5388008.55
5. Services,303,340.2,365.6,389.8,453.6,476.4,508,415.6,497.2,642,851.9,979.2,1031.3,1252.2,2782.33,3619.77,4164.6,4755.61,5105.54,5478.28,6157.84,9005.04,9633.17,10109.16,10849.45,12338.3,13455.85,14550.52,16745.33,21265.53,27425.6,31355.45,44227.32,60863.26,98336.16,151822.91,194941.22,221391.89,299450.08,373576.15,471814.64,572666.19,692179.53,843690.5,1246723.69,1620111.98,2143487.42,2502832.04,2785654.78,3106819.54,3436174.24,3846403.4
  (a) Transport,89.6,107.2,113.6,118.8,138.2,132.8,131.6,110.4,121.6,125.6,133.7,169.1,217.8,265.6,620.56,632.39,801.16,987.13,1138.71,1349.76,1635.74,2886.56,2585.3,2573.02,2765.26,3730.36,3886.93,4145.96,4464.04,4731.36,5438.84,6150.23,9011.32,15008.47,32024.59,50314.93,65531.41,75678.09,97652.16,116501.72,129092.02,144635.17,178783.67,224881.21,365730.57,385481.61,441822.3,473445.36,479126.69,506720.97,528986.38,565036.02
           Road Transport,53.8,68.8,71,71.6,93.8,88,93.2,75.4,81.8,83.4,86,117.4,163.9,209.6,620.56,632.39,801.16,987.13,1138.71,1349.76,1635.74,2326.7,1905.1,1860.9,2089.8,3030.5,3171.1,3430.02,3709.98,4019.58,4665.62,5293.84,8050.81,13548.18,29826.64,46687.45,60621.68,69676.07,90067.63,106212.07,116337.7,129967.75,160679.9,205936.69,344913.02,362605.26,416240.26,444989.96,450329.84,475907.25,495756.16,528493.03
           Rail Transport & Pipelines,20.6,24.2,24.2,25.8,21.6,21.8,19.2,17.4,18.2,16.6,13.4,13.4,14.8,18.3,,,,,,,,110.6,128.3,110.5,109.3,131.5,138.33,93.72,79.8,58.73,59.91,59.29,42.69,58.73,2.85,2.44,2.94,3.66,3.93,4.19,4.5,4.93,5.36,5.92,6.41,6.94,7.53,9.55,9.66,10.22,10.78,11.65
           Water Transport,12.6,11.8,16,18.2,20,20.2,16.4,14.8,18,20.4,28.1,32.1,32.9,31.5,,,,,,,,232.9,291.7,330,271.4,253.1,265.4,281.69,311.5,276.08,280.8,333.73,312.51,460.35,435.05,502.48,569.34,641.95,671.13,703.01,762.46,835.41,829.33,842.4,909.92,982.88,1061.25,1170.7,1184.75,1248.38,1353.72,1508.34
           Air Transport,2.6,2.4,2.4,3.2,2.8,2.8,2.8,2.8,3.6,5.2,6.2,6.2,6.2,6.2,,,,,,,,124.3,163,161.3,169.2,198,183.5,198.98,210.92,212.52,248.53,252.26,346.26,506.6,683.94,833.07,943.88,1143.95,1225.18,1381.4,1651.97,1889.79,2519.23,2759.18,3009.64,3282.82,4023.88,4567.79,4622.6,5243.09,5866.03,6573.66
           Other Transport Services,,,,,,,,,,,,,,,,,,,,,,92.06,97.2,110.32,125.56,117.26,128.6,141.55,151.84,164.45,183.98,211.11,259.05,434.61,1076.11,2289.49,3393.57,4212.46,5684.29,8201.05,10335.39,11937.29,14749.85,15337.02,16891.58,18603.71,20489.38,22707.36,22979.84,24312.03,25999.69,28449.34
  (b) Communication,7.8,8.8,9.8,11.6,14,16.2,16.4,9.4,9.8,10,11.4,14.4,15.6,23.1,31.97,41.16,51.04,52.15,58.67,65,69.99,157.9,179.7,145.5,151.1,186,191.8,201.69,215.71,219.48,247.9,252.32,323.31,446.16,452.2,525.65,605.73,684.52,743.26,814,1039.11,6891.23,9816.47,13206.71,21609.5,39513.2,165524.06,243551.04,249883.37,256003.69,262556.96,293655.52
            Telecommunications,7.8,8.8,9.8,11.6,14,16.2,16.4,9.4,9.8,10,11.4,14.4,15.6,23.1,31.97,41.16,51.04,52.15,58.67,65,69.99,65.6,76.3,44,62.4,87.6,91.4,99.74,108.84,111.01,137.26,140.02,173.9,215.99,218.16,274.86,331.88,386.95,418.49,451.25,493.15,6272.12,8736.21,12194.74,20454.08,38194,164019.87,241814.89,248102.08,254195.37,260707.87,291712.09
             Post,,,,,,,,,,,,,,,,,,,,,,92.3,103.4,101.5,88.7,98.4,100.4,101.95,106.87,108.47,110.64,112.3,149.41,230.17,234.04,250.79,273.85,297.57,324.77,362.75,545.96,619.11,1080.26,1011.97,1155.42,1319.2,1504.19,1736.15,1781.29,1808.32,1849.09,1943.44
  (c) Utilities,9.6,11.6,11.6,14.6,17.2,18,19.6,14,14.8,24.8,37.2,41.2,47.8,54.2,69.7,63.4,76.04,98.66,127.9,199.65,244.57,454.6,483.4,543.8,514.7,519.1,467.4,496.24,547.35,1066.96,1177.99,1297.44,1405.19,1600.77,1795.16,1915.3,2006.29,2037.58,2020.65,2109.56,2200.25,16400.03,18824.68,22397.41,26829.65,29387.42,42614.82,45778.44,52670.64,62148.5,70293.72,80712.94
              Electricity,8.4,9.8,10.2,13,15.2,16,16.8,12.2,13,21.4,32.2,36,40.9,44.5,69.7,63.4,76.04,98.66,127.9,199.65,244.57,301.9,322.4,308.1,301.9,334.1,251.3,262.86,264.96,759.43,827.96,909.92,949.5,992.39,1144.18,1192.06,1240.09,1236.56,1186.93,1228.08,1269.7,15432.83,17769.36,21234.87,25515.22,27905.92,40974.19,43820.51,50417.93,59613.44,67433.16,77428
